Text,Label
We can grow stronger together,0
Your happiness matters to me,0
You're a burden to me,1
You're lucky I tolerate you,1
You're so stupid and annoying,1
I will leave you if you don't listen to me,1
I don’t care about your feelings,1
I love spending time with you,0
We can grow stronger together,0
Everything is your fault,1
Let's talk about this together calmly,0
I love spending time with you,0
Let's solve this problem as a team,0
You are worthless and no one loves you,1
You always make my day better,0
Let's talk about this together calmly,0
You can’t do anything without me,1
Thank you for understanding me,0
I don’t care about your feelings,1
You're not allowed to talk to your friends,1
I don’t care about your feelings,1
We can grow stronger together,0
We can grow stronger together,0
I don’t care about your feelings,1
I will leave you if you don't listen to me,1
You always make my day better,0
Let's solve this problem as a team,0
I love spending time with you,0
I will leave you if you don't listen to me,1
You can’t do anything without me,1
Your happiness matters to me,0
I trust you and value your choices,0
You're a burden to me,1
You can’t do anything without me,1
I don’t care about your feelings,1
Let's talk about this together calmly,0
Everything is your fault,1
You're not allowed to talk to your friends,1
Thank you for understanding me,0
You're not allowed to talk to your friends,1
Everything is your fault,1
You're always wrong and I am always right,1
You're a burden to me,1
I really appreciate what you do for us,0
You are worthless and no one loves you,1
I really appreciate what you do for us,0
Let's talk about this together calmly,0
Everything is your fault,1
Let's solve this problem as a team,0
I love spending time with you,0
You're a burden to me,1
You can’t do anything without me,1
You can’t do anything without me,1
Let's talk about this together calmly,0
Your happiness matters to me,0
You're lucky I tolerate you,1
You're lucky I tolerate you,1
I love spending time with you,0
You always make my day better,0
We can grow stronger together,0
You're a burden to me,1
Your happiness matters to me,0
I will leave you if you don't listen to me,1
You can’t do anything without me,1
You're a burden to me,1
Everything is your fault,1
Everything is your fault,1
I love spending time with you,0
I will leave you if you don't listen to me,1
You're lucky I tolerate you,1
I don’t care about your feelings,1
Everything is your fault,1
We can grow stronger together,0
You are worthless and no one loves you,1
I trust you and value your choices,0
Let's talk about this together calmly,0
Everything is your fault,1
I really appreciate what you do for us,0
Everything is your fault,1
We should respect each other’s opinions,0
I love spending time with you,0
We should respect each other’s opinions,0
You're lucky I tolerate you,1
I don’t care about your feelings,1
Let's talk about this together calmly,0
Thank you for understanding me,0
We should respect each other’s opinions,0
You're so stupid and annoying,1
I will leave you if you don't listen to me,1
You're so stupid and annoying,1
I don’t care about your feelings,1
I will leave you if you don't listen to me,1
Everything is your fault,1
You're not allowed to talk to your friends,1
Your happiness matters to me,0
You are worthless and no one loves you,1
Your happiness matters to me,0
You're a burden to me,1
You're a burden to me,1
You can’t do anything without me,1
We can grow stronger together,0
I really appreciate what you do for us,0
You're so stupid and annoying,1
I really appreciate what you do for us,0
You can’t do anything without me,1
I really appreciate what you do for us,0
Everything is your fault,1
Your happiness matters to me,0
You can’t do anything without me,1
You can’t do anything without me,1
We should respect each other’s opinions,0
We should respect each other’s opinions,0
We can grow stronger together,0
You are worthless and no one loves you,1
I trust you and value your choices,0
You're not allowed to talk to your friends,1
We can grow stronger together,0
You are worthless and no one loves you,1
Let's solve this problem as a team,0
We should respect each other’s opinions,0
I love spending time with you,0
Thank you for understanding me,0
We can grow stronger together,0
You're a burden to me,1
Let's talk about this together calmly,0
You always make my day better,0
You are worthless and no one loves you,1
Everything is your fault,1
You always make my day better,0
You can’t do anything without me,1
I don’t care about your feelings,1
I love spending time with you,0
Your happiness matters to me,0
I love spending time with you,0
You can’t do anything without me,1
Thank you for understanding me,0
I love spending time with you,0
Your happiness matters to me,0
I love spending time with you,0
I trust you and value your choices,0
Everything is your fault,1
Let's talk about this together calmly,0
I really appreciate what you do for us,0
You're a burden to me,1
Your happiness matters to me,0
I will leave you if you don't listen to me,1
Let's talk about this together calmly,0
Let's solve this problem as a team,0
You're always wrong and I am always right,1
You're lucky I tolerate you,1
I really appreciate what you do for us,0
Thank you for understanding me,0
You're always wrong and I am always right,1
You're lucky I tolerate you,1
You're a burden to me,1
You're lucky I tolerate you,1
We can grow stronger together,0
We can grow stronger together,0
Let's solve this problem as a team,0
I don’t care about your feelings,1
You can’t do anything without me,1
You're a burden to me,1
We should respect each other’s opinions,0
I don’t care about your feelings,1
You always make my day better,0
We should respect each other’s opinions,0
I don’t care about your feelings,1
You're lucky I tolerate you,1
You can’t do anything without me,1
You're always wrong and I am always right,1
You're so stupid and annoying,1
I don’t care about your feelings,1
I don’t care about your feelings,1
I will leave you if you don't listen to me,1
We can grow stronger together,0
You're so stupid and annoying,1
You always make my day better,0
I will leave you if you don't listen to me,1
You can’t do anything without me,1
I trust you and value your choices,0
Thank you for understanding me,0
You're lucky I tolerate you,1
You can’t do anything without me,1
I don’t care about your feelings,1
You're not allowed to talk to your friends,1
Let's talk about this together calmly,0
You're lucky I tolerate you,1
Everything is your fault,1
You can’t do anything without me,1
Everything is your fault,1
You're so stupid and annoying,1
You're always wrong and I am always right,1
Your happiness matters to me,0
You can’t do anything without me,1
Everything is your fault,1
You're lucky I tolerate you,1
Everything is your fault,1
You're so stupid and annoying,1
Let's solve this problem as a team,0
You're lucky I tolerate you,1
You can’t do anything without me,1
Let's talk about this together calmly,0
I love spending time with you,0
You're not allowed to talk to your friends,1
Everything is your fault,1
You can’t do anything without me,1
You're always wrong and I am always right,1
You're lucky I tolerate you,1
I trust you and value your choices,0
We can grow stronger together,0
You're not allowed to talk to your friends,1
Let's solve this problem as a team,0
We can grow stronger together,0
Your happiness matters to me,0
You're so stupid and annoying,1
Thank you for understanding me,0
We can grow stronger together,0
I trust you and value your choices,0
You are worthless and no one loves you,1
We should respect each other’s opinions,0
Thank you for understanding me,0
You're a burden to me,1
We should respect each other’s opinions,0
You're always wrong and I am always right,1
You can’t do anything without me,1
I trust you and value your choices,0
Let's talk about this together calmly,0
Let's talk about this together calmly,0
Let's solve this problem as a team,0
You're a burden to me,1
You're lucky I tolerate you,1
You can’t do anything without me,1
We should respect each other’s opinions,0
I trust you and value your choices,0
I really appreciate what you do for us,0
You can’t do anything without me,1
I love spending time with you,0
You are worthless and no one loves you,1
I don’t care about your feelings,1
You are worthless and no one loves you,1
I really appreciate what you do for us,0
Your happiness matters to me,0
I really appreciate what you do for us,0
You are worthless and no one loves you,1
Everything is your fault,1
You are worthless and no one loves you,1
I don’t care about your feelings,1
I really appreciate what you do for us,0
I really appreciate what you do for us,0
You're so stupid and annoying,1
Let's talk about this together calmly,0
Your happiness matters to me,0
We can grow stronger together,0
You're always wrong and I am always right,1
I love spending time with you,0
Your happiness matters to me,0
I trust you and value your choices,0
I will leave you if you don't listen to me,1
Let's talk about this together calmly,0
Let's solve this problem as a team,0
You're not allowed to talk to your friends,1
Let's talk about this together calmly,0
You are worthless and no one loves you,1
I love spending time with you,0
We should respect each other’s opinions,0
We can grow stronger together,0
Everything is your fault,1
I love spending time with you,0
Your happiness matters to me,0
You're a burden to me,1
You're not allowed to talk to your friends,1
Your happiness matters to me,0
Let's solve this problem as a team,0
You're a burden to me,1
I don’t care about your feelings,1
You're so stupid and annoying,1
You are worthless and no one loves you,1
I will leave you if you don't listen to me,1
Let's solve this problem as a team,0
You're so stupid and annoying,1
You can’t do anything without me,1
I really appreciate what you do for us,0
I love spending time with you,0
We should respect each other’s opinions,0
Let's talk about this together calmly,0
Thank you for understanding me,0
I trust you and value your choices,0
You can’t do anything without me,1
Everything is your fault,1
Let's solve this problem as a team,0
I trust you and value your choices,0
You're lucky I tolerate you,1
Thank you for understanding me,0
I trust you and value your choices,0
You always make my day better,0
You can’t do anything without me,1
I will leave you if you don't listen to me,1
Your happiness matters to me,0
We can grow stronger together,0
I love spending time with you,0
Thank you for understanding me,0
You're a burden to me,1
I don’t care about your feelings,1
Everything is your fault,1
I love spending time with you,0
Everything is your fault,1
You're always wrong and I am always right,1
Everything is your fault,1
You're always wrong and I am always right,1
Thank you for understanding me,0
Let's talk about this together calmly,0
I really appreciate what you do for us,0
I trust you and value your choices,0
I don’t care about your feelings,1
You're always wrong and I am always right,1
Everything is your fault,1
I love spending time with you,0
You can’t do anything without me,1
Let's solve this problem as a team,0
I will leave you if you don't listen to me,1
I love spending time with you,0
I trust you and value your choices,0
I really appreciate what you do for us,0
I really appreciate what you do for us,0
You are worthless and no one loves you,1
You're always wrong and I am always right,1
You are worthless and no one loves you,1
You're a burden to me,1
We should respect each other’s opinions,0
Your happiness matters to me,0
I trust you and value your choices,0
Let's solve this problem as a team,0
You can’t do anything without me,1
Your happiness matters to me,0
Your happiness matters to me,0
Everything is your fault,1
You're not allowed to talk to your friends,1
We should respect each other’s opinions,0
You're so stupid and annoying,1
You can’t do anything without me,1
You're so stupid and annoying,1
You can’t do anything without me,1
You're always wrong and I am always right,1
I will leave you if you don't listen to me,1
You're so stupid and annoying,1
I really appreciate what you do for us,0
You're a burden to me,1
Your happiness matters to me,0
Let's solve this problem as a team,0
We should respect each other’s opinions,0
I really appreciate what you do for us,0
I love spending time with you,0
You are worthless and no one loves you,1
You're a burden to me,1
Let's talk about this together calmly,0
You can’t do anything without me,1
You're not allowed to talk to your friends,1
You're a burden to me,1
Let's talk about this together calmly,0
I love spending time with you,0
You're a burden to me,1
You can’t do anything without me,1
Everything is your fault,1
Everything is your fault,1
I don’t care about your feelings,1
You always make my day better,0
You're a burden to me,1
You're always wrong and I am always right,1
You can’t do anything without me,1
I really appreciate what you do for us,0
We can grow stronger together,0
You're always wrong and I am always right,1
You're not allowed to talk to your friends,1
You're lucky I tolerate you,1
We can grow stronger together,0
You're not allowed to talk to your friends,1
We can grow stronger together,0
You always make my day better,0
You are worthless and no one loves you,1
Thank you for understanding me,0
I will leave you if you don't listen to me,1
You are worthless and no one loves you,1
I love spending time with you,0
You're lucky I tolerate you,1
You're always wrong and I am always right,1
I don’t care about your feelings,1
I really appreciate what you do for us,0
I don’t care about your feelings,1
We can grow stronger together,0
We can grow stronger together,0
You're a burden to me,1
You can’t do anything without me,1
You're always wrong and I am always right,1
I will leave you if you don't listen to me,1
Everything is your fault,1
We should respect each other’s opinions,0
You always make my day better,0
Let's talk about this together calmly,0
We can grow stronger together,0
I really appreciate what you do for us,0
We should respect each other’s opinions,0
I trust you and value your choices,0
You're not allowed to talk to your friends,1
Let's talk about this together calmly,0
You always make my day better,0
I really appreciate what you do for us,0
You always make my day better,0
I don’t care about your feelings,1
You're a burden to me,1
Let's talk about this together calmly,0
You're so stupid and annoying,1
You're lucky I tolerate you,1
Everything is your fault,1
Everything is your fault,1
We can grow stronger together,0
We can grow stronger together,0
I love spending time with you,0
We should respect each other’s opinions,0
Thank you for understanding me,0
Let's solve this problem as a team,0
You're always wrong and I am always right,1
I don’t care about your feelings,1
You are worthless and no one loves you,1
I don’t care about your feelings,1
We can grow stronger together,0
I don’t care about your feelings,1
We can grow stronger together,0
You're always wrong and I am always right,1
Let's solve this problem as a team,0
You're always wrong and I am always right,1
You're a burden to me,1
We should respect each other’s opinions,0
You are worthless and no one loves you,1
You can’t do anything without me,1
We should respect each other’s opinions,0
Thank you for understanding me,0
You're a burden to me,1
You're always wrong and I am always right,1
You're a burden to me,1
I really appreciate what you do for us,0
Let's solve this problem as a team,0
I don’t care about your feelings,1
You always make my day better,0
You're not allowed to talk to your friends,1
You can’t do anything without me,1
You're lucky I tolerate you,1
You always make my day better,0
I really appreciate what you do for us,0
Let's solve this problem as a team,0
I love spending time with you,0
I love spending time with you,0
You're a burden to me,1
You can’t do anything without me,1
You're lucky I tolerate you,1
Let's talk about this together calmly,0
You can’t do anything without me,1
I really appreciate what you do for us,0
Let's solve this problem as a team,0
You can’t do anything without me,1
You're always wrong and I am always right,1
Thank you for understanding me,0
You can’t do anything without me,1
I love spending time with you,0
You're lucky I tolerate you,1
You're a burden to me,1
You can’t do anything without me,1
You're lucky I tolerate you,1
I trust you and value your choices,0
You're so stupid and annoying,1
Let's solve this problem as a team,0
You are worthless and no one loves you,1
You are worthless and no one loves you,1
You always make my day better,0
You're a burden to me,1
Let's solve this problem as a team,0
I will leave you if you don't listen to me,1
I really appreciate what you do for us,0
I really appreciate what you do for us,0
Let's solve this problem as a team,0
I trust you and value your choices,0
You can’t do anything without me,1
You're a burden to me,1
I will leave you if you don't listen to me,1
Your happiness matters to me,0
We should respect each other’s opinions,0
I trust you and value your choices,0
I love spending time with you,0
You can’t do anything without me,1
I don’t care about your feelings,1
You're so stupid and annoying,1
You're so stupid and annoying,1
I don’t care about your feelings,1
You always make my day better,0
I don’t care about your feelings,1
You always make my day better,0
We should respect each other’s opinions,0
Let's solve this problem as a team,0
You always make my day better,0
Thank you for understanding me,0
I don’t care about your feelings,1
I trust you and value your choices,0
We should respect each other’s opinions,0
You're a burden to me,1
I will leave you if you don't listen to me,1
You can’t do anything without me,1
You always make my day better,0
You're always wrong and I am always right,1
Thank you for understanding me,0
You're always wrong and I am always right,1
I don’t care about your feelings,1
I trust you and value your choices,0
Let's talk about this together calmly,0
I really appreciate what you do for us,0
Thank you for understanding me,0
I really appreciate what you do for us,0
You always make my day better,0
I love spending time with you,0
You are worthless and no one loves you,1
You always make my day better,0
I really appreciate what you do for us,0
We can grow stronger together,0
You're so stupid and annoying,1
You're always wrong and I am always right,1
We should respect each other’s opinions,0
I really appreciate what you do for us,0
Let's talk about this together calmly,0
Everything is your fault,1
You're not allowed to talk to your friends,1
You always make my day better,0
Your happiness matters to me,0
I trust you and value your choices,0
You can’t do anything without me,1
Let's talk about this together calmly,0
You're a burden to me,1
Your happiness matters to me,0
Let's talk about this together calmly,0
You can’t do anything without me,1
You're so stupid and annoying,1
I really appreciate what you do for us,0
I really appreciate what you do for us,0
We can grow stronger together,0
Let's talk about this together calmly,0
You're so stupid and annoying,1
Your happiness matters to me,0
You're a burden to me,1
We can grow stronger together,0
I will leave you if you don't listen to me,1
You are worthless and no one loves you,1
I will leave you if you don't listen to me,1
You are worthless and no one loves you,1
You're lucky I tolerate you,1
You are worthless and no one loves you,1
You are worthless and no one loves you,1
You're so stupid and annoying,1
I will leave you if you don't listen to me,1
I love spending time with you,0
We can grow stronger together,0
Thank you for understanding me,0
Thank you for understanding me,0
You're always wrong and I am always right,1
Everything is your fault,1
You always make my day better,0
Let's talk about this together calmly,0
You can’t do anything without me,1
You're always wrong and I am always right,1
You're a burden to me,1
Let's talk about this together calmly,0
You're not allowed to talk to your friends,1
We should respect each other’s opinions,0
Let's talk about this together calmly,0
I will leave you if you don't listen to me,1
Your happiness matters to me,0
I will leave you if you don't listen to me,1
I don’t care about your feelings,1
I will leave you if you don't listen to me,1
You're always wrong and I am always right,1
Let's talk about this together calmly,0
I will leave you if you don't listen to me,1
I love spending time with you,0
Let's talk about this together calmly,0
I don’t care about your feelings,1
You're lucky I tolerate you,1
You're a burden to me,1
I really appreciate what you do for us,0
Your happiness matters to me,0
I trust you and value your choices,0
I really appreciate what you do for us,0
You're lucky I tolerate you,1
Everything is your fault,1
Everything is your fault,1
Your happiness matters to me,0
I really appreciate what you do for us,0
Your happiness matters to me,0
Your happiness matters to me,0
You're a burden to me,1
You're not allowed to talk to your friends,1
I don’t care about your feelings,1
I trust you and value your choices,0
You're a burden to me,1
You're a burden to me,1
I really appreciate what you do for us,0
You're so stupid and annoying,1
You're always wrong and I am always right,1
I will leave you if you don't listen to me,1
I don’t care about your feelings,1
You are worthless and no one loves you,1
Thank you for understanding me,0
I trust you and value your choices,0
Let's talk about this together calmly,0
We can grow stronger together,0
You can’t do anything without me,1
I will leave you if you don't listen to me,1
Everything is your fault,1
I trust you and value your choices,0
I really appreciate what you do for us,0
Let's talk about this together calmly,0
I don’t care about your feelings,1
I will leave you if you don't listen to me,1
You're a burden to me,1
You are worthless and no one loves you,1
I trust you and value your choices,0
I don’t care about your feelings,1
Thank you for understanding me,0
Thank you for understanding me,0
I love spending time with you,0
Your happiness matters to me,0
I love spending time with you,0
You always make my day better,0
I will leave you if you don't listen to me,1
You're not allowed to talk to your friends,1
You're so stupid and annoying,1
I trust you and value your choices,0
We should respect each other’s opinions,0
We should respect each other’s opinions,0
Your happiness matters to me,0
I don’t care about your feelings,1
You can’t do anything without me,1
Thank you for understanding me,0
You're lucky I tolerate you,1
You're a burden to me,1
You are worthless and no one loves you,1
I love spending time with you,0
You're not allowed to talk to your friends,1
I love spending time with you,0
You're a burden to me,1
You are worthless and no one loves you,1
You're a burden to me,1
You can’t do anything without me,1
Let's talk about this together calmly,0
You're not allowed to talk to your friends,1
We can grow stronger together,0
Thank you for understanding me,0
I don’t care about your feelings,1
Your happiness matters to me,0
You're always wrong and I am always right,1
I don’t care about your feelings,1
I love spending time with you,0
Thank you for understanding me,0
We should respect each other’s opinions,0
You are worthless and no one loves you,1
You're a burden to me,1
You are worthless and no one loves you,1
Let's solve this problem as a team,0
Let's solve this problem as a team,0
You're lucky I tolerate you,1
You're a burden to me,1
You're always wrong and I am always right,1
I don’t care about your feelings,1
You are worthless and no one loves you,1
You can’t do anything without me,1
Your happiness matters to me,0
Everything is your fault,1
You always make my day better,0
Let's solve this problem as a team,0
Everything is your fault,1
Let's talk about this together calmly,0
You're not allowed to talk to your friends,1
Your happiness matters to me,0
You can’t do anything without me,1
You always make my day better,0
Your happiness matters to me,0
You're not allowed to talk to your friends,1
You're so stupid and annoying,1
Everything is your fault,1
You're so stupid and annoying,1
You're so stupid and annoying,1
I will leave you if you don't listen to me,1
Let's solve this problem as a team,0
You're lucky I tolerate you,1
We should respect each other’s opinions,0
You always make my day better,0
Let's talk about this together calmly,0
You're always wrong and I am always right,1
You are worthless and no one loves you,1
I don’t care about your feelings,1
Let's solve this problem as a team,0
We should respect each other’s opinions,0
You're not allowed to talk to your friends,1
You're not allowed to talk to your friends,1
You are worthless and no one loves you,1
We can grow stronger together,0
Your happiness matters to me,0
You're so stupid and annoying,1
You are worthless and no one loves you,1
You're lucky I tolerate you,1
Thank you for understanding me,0
Your happiness matters to me,0
Everything is your fault,1
You're a burden to me,1
Thank you for understanding me,0
Thank you for understanding me,0
Let's talk about this together calmly,0
Your happiness matters to me,0
You always make my day better,0
Thank you for understanding me,0
I will leave you if you don't listen to me,1
Everything is your fault,1
Thank you for understanding me,0
Your happiness matters to me,0
We should respect each other’s opinions,0
Your happiness matters to me,0
You're always wrong and I am always right,1
I trust you and value your choices,0
You're always wrong and I am always right,1
Your happiness matters to me,0
I really appreciate what you do for us,0
You're always wrong and I am always right,1
I love spending time with you,0
Thank you for understanding me,0
You're a burden to me,1
We should respect each other’s opinions,0
I love spending time with you,0
Let's talk about this together calmly,0
You're so stupid and annoying,1
You're not allowed to talk to your friends,1
Let's solve this problem as a team,0
I trust you and value your choices,0
Let's solve this problem as a team,0
You're so stupid and annoying,1
I love spending time with you,0
Your happiness matters to me,0
You always make my day better,0
You're so stupid and annoying,1
You are worthless and no one loves you,1
We can grow stronger together,0
You always make my day better,0
I don’t care about your feelings,1
I really appreciate what you do for us,0
Your happiness matters to me,0
You are worthless and no one loves you,1
Thank you for understanding me,0
I don’t care about your feelings,1
We should respect each other’s opinions,0
You're always wrong and I am always right,1
You always make my day better,0
You're so stupid and annoying,1
I don’t care about your feelings,1
Thank you for understanding me,0
Let's talk about this together calmly,0
Your happiness matters to me,0
We can grow stronger together,0
You're lucky I tolerate you,1
I trust you and value your choices,0
You're not allowed to talk to your friends,1
Thank you for understanding me,0
You're a burden to me,1
You're so stupid and annoying,1
I trust you and value your choices,0
You're a burden to me,1
Thank you for understanding me,0
I will leave you if you don't listen to me,1
You're a burden to me,1
Let's solve this problem as a team,0
Let's talk about this together calmly,0
I don’t care about your feelings,1
I don’t care about your feelings,1
Let's solve this problem as a team,0
You're lucky I tolerate you,1
I trust you and value your choices,0
You're always wrong and I am always right,1
You can’t do anything without me,1
You're always wrong and I am always right,1
You're so stupid and annoying,1
You are worthless and no one loves you,1
Let's talk about this together calmly,0
We can grow stronger together,0
You're a burden to me,1
You're a burden to me,1
Let's talk about this together calmly,0
Let's solve this problem as a team,0
I really appreciate what you do for us,0
Let's talk about this together calmly,0
You're lucky I tolerate you,1
You're not allowed to talk to your friends,1
We can grow stronger together,0
I don’t care about your feelings,1
You're lucky I tolerate you,1
Let's solve this problem as a team,0
We can grow stronger together,0
Everything is your fault,1
We should respect each other’s opinions,0
You're a burden to me,1
We should respect each other’s opinions,0
You're not allowed to talk to your friends,1
I trust you and value your choices,0
You're not allowed to talk to your friends,1
Let's talk about this together calmly,0
Everything is your fault,1
I will leave you if you don't listen to me,1
Thank you for understanding me,0
You're a burden to me,1
We should respect each other’s opinions,0
You're always wrong and I am always right,1
You can’t do anything without me,1
I trust you and value your choices,0
You're lucky I tolerate you,1
You are worthless and no one loves you,1
You're not allowed to talk to your friends,1
I don’t care about your feelings,1
Let's talk about this together calmly,0
I really appreciate what you do for us,0
We can grow stronger together,0
You can’t do anything without me,1
I don’t care about your feelings,1
Your happiness matters to me,0
We can grow stronger together,0
Everything is your fault,1
We should respect each other’s opinions,0
You're not allowed to talk to your friends,1
You're always wrong and I am always right,1
We can grow stronger together,0
You're a burden to me,1
I don’t care about your feelings,1
We can grow stronger together,0
Let's solve this problem as a team,0
You're always wrong and I am always right,1
You're always wrong and I am always right,1
You're a burden to me,1
You are worthless and no one loves you,1
You can’t do anything without me,1
Let's solve this problem as a team,0
We should respect each other’s opinions,0
We can grow stronger together,0
You're a burden to me,1
I really appreciate what you do for us,0
I love spending time with you,0
I trust you and value your choices,0
Everything is your fault,1
We can grow stronger together,0
I love spending time with you,0
You're a burden to me,1
Let's solve this problem as a team,0
I trust you and value your choices,0
Let's solve this problem as a team,0
I will leave you if you don't listen to me,1
I will leave you if you don't listen to me,1
You always make my day better,0
You can’t do anything without me,1
I trust you and value your choices,0
You're not allowed to talk to your friends,1
You always make my day better,0
You're a burden to me,1
I love spending time with you,0
I don’t care about your feelings,1
Let's talk about this together calmly,0
We can grow stronger together,0
Everything is your fault,1
I trust you and value your choices,0
You're a burden to me,1
Your happiness matters to me,0
I trust you and value your choices,0
You can’t do anything without me,1
I will leave you if you don't listen to me,1
You are worthless and no one loves you,1
You're always wrong and I am always right,1
Let's solve this problem as a team,0
I trust you and value your choices,0
You always make my day better,0
You're lucky I tolerate you,1
You always make my day better,0
Let's solve this problem as a team,0
You're so stupid and annoying,1
You can’t do anything without me,1
I don’t care about your feelings,1
We should respect each other’s opinions,0
You're so stupid and annoying,1
I don’t care about your feelings,1
I will leave you if you don't listen to me,1
We can grow stronger together,0
You're not allowed to talk to your friends,1
I really appreciate what you do for us,0
You're so stupid and annoying,1
Your happiness matters to me,0
You can’t do anything without me,1
You're not allowed to talk to your friends,1
You're not allowed to talk to your friends,1
You're not allowed to talk to your friends,1
You're a burden to me,1
You're lucky I tolerate you,1
You can’t do anything without me,1
You're always wrong and I am always right,1
Everything is your fault,1
I really appreciate what you do for us,0
I will leave you if you don't listen to me,1
I really appreciate what you do for us,0
You're not allowed to talk to your friends,1
I really appreciate what you do for us,0
You can’t do anything without me,1
Your happiness matters to me,0
Your happiness matters to me,0
You are worthless and no one loves you,1
You're lucky I tolerate you,1
I don’t care about your feelings,1
Thank you for understanding me,0
You're so stupid and annoying,1
You always make my day better,0
Your happiness matters to me,0
I really appreciate what you do for us,0
We can grow stronger together,0
Your happiness matters to me,0
We should respect each other’s opinions,0
You're not allowed to talk to your friends,1
I really appreciate what you do for us,0
You are worthless and no one loves you,1
You're lucky I tolerate you,1
Your happiness matters to me,0
I trust you and value your choices,0
Your happiness matters to me,0
I really appreciate what you do for us,0
You're a burden to me,1
I will leave you if you don't listen to me,1
I trust you and value your choices,0
I don’t care about your feelings,1
You're always wrong and I am always right,1
I really appreciate what you do for us,0
We can grow stronger together,0
I will leave you if you don't listen to me,1
Your happiness matters to me,0
Your happiness matters to me,0
You're lucky I tolerate you,1
You're not allowed to talk to your friends,1
Your happiness matters to me,0
You're a burden to me,1
Thank you for understanding me,0
You're always wrong and I am always right,1
Your happiness matters to me,0
You're lucky I tolerate you,1
We can grow stronger together,0
Your happiness matters to me,0
You can’t do anything without me,1
Let's solve this problem as a team,0
I really appreciate what you do for us,0
Your happiness matters to me,0
You're always wrong and I am always right,1
Let's talk about this together calmly,0
You're not allowed to talk to your friends,1
I really appreciate what you do for us,0
You're lucky I tolerate you,1
Let's talk about this together calmly,0
You're lucky I tolerate you,1
Thank you for understanding me,0
You're lucky I tolerate you,1
You're so stupid and annoying,1
Let's talk about this together calmly,0
You're not allowed to talk to your friends,1
We should respect each other’s opinions,0
I trust you and value your choices,0
You are worthless and no one loves you,1
I will leave you if you don't listen to me,1
You always make my day better,0
Let's talk about this together calmly,0
You're a burden to me,1
You can’t do anything without me,1
You always make my day better,0
I trust you and value your choices,0
Everything is your fault,1
You're a burden to me,1
You are worthless and no one loves you,1
You're so stupid and annoying,1
You always make my day better,0
You're so stupid and annoying,1
You are worthless and no one loves you,1
I trust you and value your choices,0
You're not allowed to talk to your friends,1
I will leave you if you don't listen to me,1
You're lucky I tolerate you,1
You always make my day better,0
You're a burden to me,1
We should respect each other’s opinions,0
Your happiness matters to me,0
I don’t care about your feelings,1
Let's talk about this together calmly,0
You're lucky I tolerate you,1
You are worthless and no one loves you,1
I really appreciate what you do for us,0
Your happiness matters to me,0
Thank you for understanding me,0
I trust you and value your choices,0
I trust you and value your choices,0
You're not allowed to talk to your friends,1
Why are you touching my phone,1
Don't touch my phone,1
make distance,1
don't touch me,1
why are you checking my phone,1
do not check my phone,1